,q2,q2_ans_best,res
25,银行的信用卡最近有什么优惠活动?,重庆近期有什么信用卡促销活动或用卡优惠,0
26,银行的信用卡最近有什么优惠活动?,浙江近期有什么信用卡促销活动或用卡优惠,0
27,银行的信用卡最近有什么优惠活动?,云南近期有什么信用卡促销活动或用卡优惠,0
28,银行的信用卡最近有什么优惠活动?,西藏近期有什么信用卡促销活动或用卡优惠,0
29,银行的信用卡最近有什么优惠活动?,天津近期有什么信用卡促销活动或用卡优惠,0
30,银行的信用卡最近有什么优惠活动?,苏州近期有什么信用卡促销活动或用卡优惠,0
31,银行的信用卡最近有什么优惠活动?,四川近期有什么信用卡促销活动或用卡优惠,0
32,银行的信用卡最近有什么优惠活动?,深圳近期有什么信用卡促销活动或用卡优惠,0
33,银行的信用卡最近有什么优惠活动?,上海近期有什么信用卡促销活动或用卡优惠,0
34,银行的信用卡最近有什么优惠活动?,陕西近期有什么信用卡促销活动或用卡优惠,0
35,银行的信用卡最近有什么优惠活动?,山西近期有什么信用卡促销活动或用卡优惠,0
36,银行的信用卡最近有什么优惠活动?,山东近期有什么信用卡促销活动或用卡优惠,0
37,银行的信用卡最近有什么优惠活动?,厦门近期有什么信用卡促销活动或用卡优惠,0
38,银行的信用卡最近有什么优惠活动?,青海近期有什么信用卡促销活动或用卡优惠,0
39,银行的信用卡最近有什么优惠活动?,青岛近期有什么信用卡促销活动或用卡优惠,0
40,转账时如何收费？,如何办理延时转账,0
41,转账时如何收费？,“预约转账”的交易时间,0
42,转账时如何收费？,个人网银转账汇款时如何使用收款人名册,0
43,转账时如何收费？,挂失如何收费,0
44,转账时如何收费？,如何查询信用卡收费项目,0
45,转账时如何收费？,个人结售汇业务如何收费,0
46,转账时如何收费？,办理跨行转账归还信用卡账户时，开户行应如何填写,0
47,转账时如何收费？,“预约转账”时输错收款账户信息，系统如何处理,0
48,转账时如何收费？,如何提高转账限额,0
49,转账时如何收费？,如何取消预约转账,0
50,转账时如何收费？,如何开通转账功能,0
51,转账时如何收费？,如何查询转账记录,0
52,转账时如何收费？,如何查询转账附言,0
53,转账时如何收费？,如何查询预约转账,0
54,转账时如何收费？,如何办理转账汇款,0
55,转账时如何收费？,个人网银向企业账户转账时对方账号或户名输错了能否转账成功,0
56,转账时如何收费？,信用卡损坏换卡如何收费,0
57,转账时如何收费？,电话银行如何查询预约转账的转账结果,0
58,转账时如何收费？,网银如何办理转账,0
59,转账时如何收费？,手机银行如何办理转账,0
60,汇款和转账有何区别?,挂失和注销信用卡有什么区别,0
61,汇款和转账有何区别?,“批量转账”文件有何要求,0
62,汇款和转账有何区别?,个人商城和企业商城有什么区别,0
63,汇款和转账有何区别?,转账汇款最低限额,1
64,汇款和转账有何区别?,如何办理转账汇款,0
65,汇款和转账有何区别?,转账汇款到账时间,0
66,汇款和转账有何区别?,请问在线申请贷款时“快贷”和一般贷款有何不同？,0
67,汇款和转账有何区别?,信用卡全额还款和最低还款额的区别,0
68,汇款和转账有何区别?,手机银行签约账户和非签约账户的区别,0
69,汇款和转账有何区别?,手机银行登录密码和取款密码的区别,0
70,汇款和转账有何区别?,建行信用卡卡种有什么区别,0
71,汇款和转账有何区别?,转账汇款如何通知收款人,0
72,汇款和转账有何区别?,如何发短信办理转账汇款,0
73,汇款和转账有何区别?,手机银行转账汇款的历史转账记录能否保留,0
74,汇款和转账有何区别?,用手机银行汇款有要求吗,0
75,汇款和转账有何区别?,记账式国债的交易时间有何规定,0
76,汇款和转账有何区别?,企业网银转账汇款到账时间,0
77,汇款和转账有何区别?,个人网银转账汇款时如何使用收款人名册,0
78,汇款和转账有何区别?,个人网银活期转账汇款支持的账户类型,0
79,汇款和转账有何区别?,新版动态口令卡和原有的动态口令卡的区别,0
80,住房公积金查询,怎么查询住房公积金缴存情况,0
81,住房公积金查询,住房公积金缴存情况,1
82,住房公积金查询,遗忘住房公积金联名卡密码,0
83,住房公积金查询,什么情况下可以提取住房公积金,0
84,住房公积金查询,房屋装修能否提取住房公积金,0
85,住房公积金查询,如何查询公积金账号,0
86,住房公积金查询,手机银行如何查询公积金,0
87,住房公积金查询,电话银行如何查询公积金,0
88,住房公积金查询,网站公积金查询密码锁定了怎么办,0
89,住房公积金查询,如何查询公积金账户余额/明细,0
90,住房公积金查询,如何查询个人公积金贷款还款账号,0
91,住房公积金查询,个人网银如何查询公积金,0
92,住房公积金查询,如何查询个人商业住房贷款的还款账号,0
93,住房公积金查询,网银能否通过身份证查询个人公积金账户,0
94,住房公积金查询,如何设置、重置或修改网站公积金查询密码,0
95,住房公积金查询,什么是住房装修贷款,0
96,住房公积金查询,如何办理住房装修贷款,0
97,住房公积金查询,如何办理公积金贷款,0
98,住房公积金查询,什么情况可以提取公积金,0
99,住房公积金查询,“公积金快贷”业务介绍,0
100,"银行办理个人业务,中午休息么",中午可以办理业务吗,1
101,"银行办理个人业务,中午休息么",电话银行如何办理个人向企业转账业务,0
102,"银行办理个人业务,中午休息么",临时身份证件能否办理个人业务,0
103,"银行办理个人业务,中午休息么",微信银行能否办理转账业务,0
104,"银行办理个人业务,中午休息么",手机银行如何办理业务预约,0
105,"银行办理个人业务,中午休息么",手机银行办理基金业务的时间,0
106,"银行办理个人业务,中午休息么",信用卡积分会清零么？,0
107,"银行办理个人业务,中午休息么",如何办理个人网银支票通业务,0
108,"银行办理个人业务,中午休息么",个人网银如何办理网点业务预约,0
109,"银行办理个人业务,中午休息么",个人网银保险业务的办理时间,0
110,"银行办理个人业务,中午休息么",个人网银办理保险业务的客户类型,0
111,"银行办理个人业务,中午休息么",如何办理结售汇业务,0
112,"银行办理个人业务,中午休息么",在建行办理的ETC可以在全国高速路扣费使用么,0
113,"银行办理个人业务,中午休息么",手机银行暂停办理E商贸通业务,0
114,"银行办理个人业务,中午休息么",手机银行如何办理e账户身份证上传业务,0
115,"银行办理个人业务,中午休息么",手机银行如何办理ETCP智慧停车缴费业务,0
116,"银行办理个人业务,中午休息么",手机银行办理代理贵金属业务的条件,0
117,"银行办理个人业务,中午休息么",如何进入电话银行人工服务办理挂失业务,0
118,"银行办理个人业务,中午休息么",电话银行如何办理跨行转账业务,0
119,"银行办理个人业务,中午休息么",如何进入电话银行人工服务咨询个人业务,0
120,中国银行中午能办理业务吗?,中午可以办理业务吗,1
121,中国银行中午能办理业务吗?,用信用卡能取现吗,0
122,中国银行中午能办理业务吗?,我在建行能买天然气吗,0
123,中国银行中午能办理业务吗?,中国银行客服电话是多少,0
124,中国银行中午能办理业务吗?,如何办理结售汇业务,0
125,中国银行中午能办理业务吗?,请问办理信用卡有要求吗,0
126,中国银行中午能办理业务吗?,龙卡通可以办理附属卡吗,0
127,中国银行中午能办理业务吗?,在自助设备上能不能转账,0
128,中国银行中午能办理业务吗?,我的银行卡在国外的ATM上能查询到余额吗,0
129,中国银行中午能办理业务吗?,如何办理租车业务,0
130,中国银行中午能办理业务吗?,如何办理预约取款业务,0
131,中国银行中午能办理业务吗?,如何办理网点业务预约,0
132,中国银行中午能办理业务吗?,结售汇业务的办理时间,0
133,中国银行中午能办理业务吗?,手机银行能转多少,0
134,中国银行中午能办理业务吗?,信用卡申请境外失卡保障业务后，何时能知道结果,0
135,中国银行中午能办理业务吗?,支持办理“快贷”业务的省市,0
136,中国银行中午能办理业务吗?,信用卡网站可自助办理哪些业务,0
137,中国银行中午能办理业务吗?,鑫存管业务办理时间,0
138,中国银行中午能办理业务吗?,微信银行能否办理转账业务,0
139,中国银行中午能办理业务吗?,手机银行如何办理业务预约,0
140,中国人民解放军总医院,中国人民解放军总医院,1
141,中国人民解放军总医院,电话银行如何办理北京解放军总医院（301医院）的银医服务,0
142,中国人民解放军总医院,如何办理301医院银医签约及挂号,0
143,中国人民解放军总医院,取消华西医院预约挂号后，费用什么时候返还,0
144,中国人民解放军总医院,华西医院诊疗服务的咨询电话是多少,0
145,中国人民解放军总医院,为什么资产负债分析中的总金额与实际资产不一致,0
146,中国人民解放军总医院,为何设置短信验证的起始金额总是失败,0
147,中国人民解放军总医院,如何用建行卡开通西京医院的银医服务,0
148,中国人民解放军总医院,个人网银能否预约某医院的专家号或普通门诊号,0
149,中国人民解放军总医院,电话银行如何办理四川华西医院的银医服务,0
150,中国人民解放军总医院,电话银行如何办理陕西西京医院的银医服务,0
151,中国人民解放军总医院,提示“0250B2113008您今天的交易总金额超过了总行允许的限额”怎么办,0
152,中国人民解放军总医院,借记卡（含华西健康龙卡）如何通过95533电话银行办理华西附一医院预约挂号,0
153,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行转账手续费,1
154,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行异地转账手续费,1
155,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行异地跨行转账手续费,1
156,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行异地取款手续费,0
157,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行异地存款手续费,0
158,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行跨行取款手续费,0
159,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行股份有限公司,0
160,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行成立时间,0
161,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行异地跨行取款手续费,0
162,"中国银行向建设银行转账手续费怎么算,同一城市",向企业转账手续费,0
163,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行微信公众号,0
164,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行电子银行业务中心地址,0
165,"中国银行向建设银行转账手续费怎么算,同一城市",手机银行转账手续费,0
166,"中国银行向建设银行转账手续费怎么算,同一城市",电话银行转账手续费,0
167,"中国银行向建设银行转账手续费怎么算,同一城市",手机银行如何向企业账户转账,0
168,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行的转型方向是什么,0
169,"中国银行向建设银行转账手续费怎么算,同一城市",中国建设银行的英文简称是什么,0
170,"中国银行向建设银行转账手续费怎么算,同一城市",如何关注中国建设银行易信公众号,0
171,"中国银行向建设银行转账手续费怎么算,同一城市",信用卡还款日怎么算,0
172,"中国银行向建设银行转账手续费怎么算,同一城市",分期手续费如何试算,0
173,建行同行异地转账手续费是多少?,中国建设银行异地转账手续费,1
174,建行同行异地转账手续费是多少?,结算通卡转账手续费是多少,0
175,建行同行异地转账手续费是多少?,建行信用卡取现手续费是多少,0
176,建行同行异地转账手续费是多少?,中国建设银行异地跨行转账手续费,1
177,建行同行异地转账手续费是多少?,建行系统内个人转账手续费标准,0
178,建行同行异地转账手续费是多少?,中国建设银行异地取款手续费,0
179,建行同行异地转账手续费是多少?,中国建设银行异地存款手续费,0
180,建行同行异地转账手续费是多少?,转账手续费,0
181,建行同行异地转账手续费是多少?,建行卡去工行取钱收多少手续费,0
182,建行同行异地转账手续费是多少?,建行信用卡还款容差是多少,0
183,建行同行异地转账手续费是多少?,建行信用卡初始密码是多少,0
184,建行同行异地转账手续费是多少?,建行商业汇票贴现利率是多少,0
185,建行同行异地转账手续费是多少?,建行服务电话号码是多少,0
186,建行同行异地转账手续费是多少?,向企业转账手续费,0
187,建行同行异地转账手续费是多少?,网银转账手续费,0
188,建行同行异地转账手续费是多少?,手机银行转账手续费,0
189,建行同行异地转账手续费是多少?,跨行转账手续费,0
190,建行同行异地转账手续费是多少?,电话银行转账手续费,0
191,建行同行异地转账手续费是多少?,中国建设银行异地跨行取款手续费,0
192,建行同行异地转账手续费是多少?,龙支付取款手续费和限额是多少,0
193,建行异地取钱要手续费吗?,拿你们的卡回老家取钱，要收手续费吗,0
194,建行异地取钱要手续费吗?,信用卡消费要手续费吗,0
195,建行异地取钱要手续费吗?,建行卡去工行取钱收多少手续费,0
196,建行异地取钱要手续费吗?,我有张信用卡，取钱要不要收手续费呢,0
197,建行异地取钱要手续费吗?,我的卡到外地存钱要收手续费吗,0
198,建行异地取钱要手续费吗?,建行信用卡取现手续费是多少,0
199,建行异地取钱要手续费吗?,我用存折取钱收费用吗,0
200,建行异地取钱要手续费吗?,我用建行卡在国外取钱有规定吗,0
201,建行异地取钱要手续费吗?,我存钱给家里的卡收手续费吗,0
202,建行异地取钱要手续费吗?,开户要收费吗,0
203,建行异地取钱要手续费吗?,建行卡可以在国外取现金吗,0
204,建行异地取钱要手续费吗?,建行卡在你们这里取款要收费吗,0
205,建行异地取钱要手续费吗?,信用卡取现手续费,0
206,建行异地取钱要手续费吗?,信用卡取现金手续费,0
207,建行异地取钱要手续费吗?,信用卡可以取多少钱,0
208,建行异地取钱要手续费吗?,中国建设银行异地转账手续费,0
209,建行异地取钱要手续费吗?,中国建设银行异地取款手续费,1
210,建行异地取钱要手续费吗?,中国建设银行异地存款手续费,0
211,建行异地取钱要手续费吗?,信用卡可以取现金吗,0
212,建行异地取钱要手续费吗?,开存折要收费吗,0
213,异地存取款,中国建设银行异地取款手续费,1
214,异地存取款,储蓄账户存取款手续费,0
215,异地存取款,中国建设银行异地跨行取款手续费,0
216,异地存取款,异地能否支取定期,0
217,异地存取款,中国建设银行异地转账手续费,0
218,异地存取款,中国建设银行异地存款手续费,0
219,异地存取款,能否为异地申办的信用卡还款,0
220,异地存取款,“中国科大名校卡”异地如何申请,0
221,异地存取款,零存整取是否支持续存,0
222,异地存取款,零存整取可以存多久,0
223,异地存取款,存本取息可以存多久,0
224,异地存取款,外卡在你行取款机取款怎么收费,0
225,异地存取款,中国建设银行异地跨行转账手续费,0
226,异地存取款,提示“0041ZXX20006资金账户禁止异地取出”怎么办,0
227,异地存取款,手机银行如何缴纳跨省异地交通违法罚款,0
228,异地存取款,借记卡如何提供异地紧急现金援助服,0
229,异地存取款,建行能否跨省异地缴纳交通违法罚款,0
230,异地存取款,电话银行如何缴纳跨省异地交通违章罚款,0
231,异地存取款,“悦生活”如何跨省异地缴纳交通罚款,0
232,异地存取款,信用卡取款手续费,0
233,2017年建行异地跨行转账手续费是多少,跨行转账手续费,0
234,2017年建行异地跨行转账手续费是多少,中国建设银行异地跨行转账手续费,1
235,2017年建行异地跨行转账手续费是多少,手机银行跨行转账手续费,0
236,2017年建行异地跨行转账手续费是多少,电话银行跨行转账手续费,0
237,2017年建行异地跨行转账手续费是多少,中国建设银行异地跨行取款手续费,0
238,2017年建行异地跨行转账手续费是多少,如何办理跨行转账,0
239,2017年建行异地跨行转账手续费是多少,中国建设银行异地转账手续费,1
240,2017年建行异地跨行转账手续费是多少,结算通卡转账手续费是多少,0
241,2017年建行异地跨行转账手续费是多少,中国建设银行跨行取款手续费,0
242,2017年建行异地跨行转账手续费是多少,借记卡跨行取款手续费,0
243,2017年建行异地跨行转账手续费是多少,建行信用卡取现手续费是多少,0
244,2017年建行异地跨行转账手续费是多少,网银如何办理跨行转账,0
245,2017年建行异地跨行转账手续费是多少,手机银行如何办理跨行转账,0
246,2017年建行异地跨行转账手续费是多少,跨行转账何时能到账,0
247,2017年建行异地跨行转账手续费是多少,建行能否跨省异地缴纳交通违法罚款,0
248,2017年建行异地跨行转账手续费是多少,信用卡年费是多少,0
249,2017年建行异地跨行转账手续费是多少,电子渠道办理跨行转账，转账信息有误手续费是否退还,0
250,2017年建行异地跨行转账手续费是多少,自助设备跨行转账到账时间,0
251,2017年建行异地跨行转账手续费是多少,个人网银如何办理跨行转账,0
252,2017年建行异地跨行转账手续费是多少,电话银行如何办理跨行转账业务,0
253,建设银行异地取款怎么收费,中国建设银行异地取款手续费,0
254,建设银行异地取款怎么收费,其它银行取款怎么收费,0
255,建设银行异地取款怎么收费,中国建设银行异地跨行取款手续费,1
256,建设银行异地取款怎么收费,中国建设银行异地转账手续费,0
257,建设银行异地取款怎么收费,中国建设银行异地存款手续费,0
258,建设银行异地取款怎么收费,外卡在你行取款机取款怎么收费,0
259,建设银行异地取款怎么收费,中国建设银行跨行取款手续费,1
260,建设银行异地取款怎么收费,中国建设银行异地跨行转账手续费,0
261,建设银行异地取款怎么收费,我的外地卡在你们这里取款怎么收费,0
262,建设银行异地取款怎么收费,建设银行信用卡刚收到的新卡怎么用,0
263,建设银行异地取款怎么收费,开存折怎么收费,0
264,建设银行异地取款怎么收费,开储蓄卡怎么收费,0
265,建设银行异地取款怎么收费,储蓄卡开户怎么收费,0
266,建设银行异地取款怎么收费,外地账号取款要收费吗,0
267,建设银行异地取款怎么收费,外地存折取款要不要收费,0
268,建设银行异地取款怎么收费,中国建设银行转账手续费,0
269,建设银行异地取款怎么收费,中国建设银行股份有限公司,0
270,建设银行异地取款怎么收费,中国建设银行成立时间,0
271,建设银行异地取款怎么收费,透支卡取款费用怎么收,0
272,建设银行异地取款怎么收费,透支卡国外取款手续费怎么收,0
273,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行异地转账手续费,0
274,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行异地取款手续费,0
275,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行异地存款手续费,1
276,建设银行的卡在异地ATM机存钱要扣手续费吗,我存钱给家里的卡收手续费吗,0
277,建设银行的卡在异地ATM机存钱要扣手续费吗,我的卡到外地存钱要收手续费吗,0
278,建设银行的卡在异地ATM机存钱要扣手续费吗,你们附近还有ATM机吗,0
279,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行异地跨行转账手续费,0
280,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行异地跨行取款手续费,0
281,建设银行的卡在异地ATM机存钱要扣手续费吗,用信用卡在柜员机取款收手续费吗,0
282,建设银行的卡在异地ATM机存钱要扣手续费吗,粤通卡可以存钱吗,0
283,建设银行的卡在异地ATM机存钱要扣手续费吗,信用卡消费要手续费吗,0
284,建设银行的卡在异地ATM机存钱要扣手续费吗,家里人存钱到我的卡上要收费吗,0
285,建设银行的卡在异地ATM机存钱要扣手续费吗,拿你们的卡回老家取钱，要收手续费吗,0
286,建设银行的卡在异地ATM机存钱要扣手续费吗,借记卡出国在ATM机取款手续费怎么收,0
287,建设银行的卡在异地ATM机存钱要扣手续费吗,我的银行卡在国外的ATM上能查询到余额吗,0
288,建设银行的卡在异地ATM机存钱要扣手续费吗,存钱到外地要不要收费,0
289,建设银行的卡在异地ATM机存钱要扣手续费吗,中国建设银行转账手续费,0
290,建设银行的卡在异地ATM机存钱要扣手续费吗,粤通卡可以在柜员机转账吗,0
291,建设银行的卡在异地ATM机存钱要扣手续费吗,零存整取最少要存多少钱,0
292,建设银行的卡在异地ATM机存钱要扣手续费吗,存本取息最少要存多少钱,0
293,中国建设银行微信公众号,中国建设银行微信公众号,1
294,中国建设银行微信公众号,如何关注中国建设银行易信公众号,0
295,中国建设银行微信公众号,如何关注建行信用卡微信公众号,0
296,中国建设银行微信公众号,如何关注建行江苏分行微信公众号,0
297,中国建设银行微信公众号,如何关注“今日建行”微信公众号,0
298,中国建设银行微信公众号,“龙卡天府行”微信公众号介绍,0
299,中国建设银行微信公众号,中国建设银行转账手续费,0
300,中国建设银行微信公众号,中国建设银行股份有限公司,0
301,中国建设银行微信公众号,中国建设银行成立时间,0
302,中国建设银行微信公众号,中国建设银行异地转账手续费,0
303,中国建设银行微信公众号,中国建设银行异地取款手续费,0
304,中国建设银行微信公众号,中国建设银行异地存款手续费,0
305,中国建设银行微信公众号,中国建设银行跨行取款手续费,0
306,中国建设银行微信公众号,如何取消关注建行微信公众账号,0
307,中国建设银行微信公众号,如何关注建行官方微信公众账号,0
308,中国建设银行微信公众号,中国建设银行电子银行业务中心地址,0
309,中国建设银行微信公众号,中国建设银行异地跨行转账手续费,0
310,中国建设银行微信公众号,中国建设银行异地跨行取款手续费,0
311,中国建设银行微信公众号,中国建设银行的转型方向是什么,0
312,中国建设银行微信公众号,中国建设银行的英文简称是什么,0
313,跨行存取款手续费,中国建设银行跨行取款手续费,1
314,跨行存取款手续费,借记卡跨行取款手续费,0
315,跨行存取款手续费,跨行转账手续费,0
316,跨行存取款手续费,中国建设银行异地跨行取款手续费,1
317,跨行存取款手续费,储蓄账户存取款手续费,0
318,跨行存取款手续费,手机银行跨行转账手续费,0
319,跨行存取款手续费,电话银行跨行转账手续费,0
320,跨行存取款手续费,中国建设银行异地跨行转账手续费,0
321,跨行存取款手续费,如何办理跨行转账,0
322,跨行存取款手续费,能否跨行归还信用卡,0
323,跨行存取款手续费,信用卡取款手续费,0
324,跨行存取款手续费,信用卡出国取款手续费,0
325,跨行存取款手续费,透支卡取款手续费,0
326,跨行存取款手续费,透支卡出国取款手续费,0
327,跨行存取款手续费,龙卡信用卡取款手续费,0
328,跨行存取款手续费,龙卡通国外取款手续费,0
329,跨行存取款手续费,贷记卡取款手续费,0
330,跨行存取款手续费,网银如何办理跨行转账,0
331,跨行存取款手续费,手机银行如何办理跨行转账,0
332,跨行存取款手续费,如何办理跨行资金归集业务,0
333,建设银行转型发展五大方向是哪几个,中国建设银行的转型方向是什么,1
334,建设银行转型发展五大方向是哪几个,建设银行有多少个网点,0
335,建设银行转型发展五大方向是哪几个,信用卡有几个等级,0
336,建设银行转型发展五大方向是哪几个,建行贵宾卡有哪几种类,0
337,建设银行转型发展五大方向是哪几个,一个号码可以开通几个手机银行,0
338,建设银行转型发展五大方向是哪几个,微信银行服务可以绑定几个账户,0
339,建设银行转型发展五大方向是哪几个,手机银行最多可以有几个账户,0
340,建设银行转型发展五大方向是哪几个,广东发展银行客服电话是多少,0
341,建设银行转型发展五大方向是哪几个,信用卡开卡有哪几种方式,0
342,建设银行转型发展五大方向是哪几个,个人外汇买卖有哪几种牌价类型,0
343,建设银行转型发展五大方向是哪几个,电话银行账户贵金属的报价方向是怎样的,0
344,建设银行转型发展五大方向是哪几个,手机银行账户贵金属的报价方向,0
345,建设银行转型发展五大方向是哪几个,一个客户可以开通几个网银,0
346,建设银行转型发展五大方向是哪几个,账户贵金属最大交易量是多少,0
347,建设银行转型发展五大方向是哪几个,什么是“昌大昌龙卡”,0
348,建设银行转型发展五大方向是哪几个,中国建设银行转账手续费,0
349,建设银行转型发展五大方向是哪几个,中国建设银行股份有限公司,0
350,建设银行转型发展五大方向是哪几个,中国建设银行成立时间,0
351,建设银行转型发展五大方向是哪几个,到期还款日是哪一天,0
352,建设银行转型发展五大方向是哪几个,中国建设银行的英文简称是什么,0
353,中国建设银行英文缩写,中国建设银行的英文简称是什么,1
354,中国建设银行英文缩写,中国建设银行转账手续费,0
355,中国建设银行英文缩写,中国建设银行股份有限公司,0
356,中国建设银行英文缩写,中国建设银行成立时间,0
357,中国建设银行英文缩写,中国建设银行异地转账手续费,0
358,中国建设银行英文缩写,中国建设银行异地取款手续费,0
359,中国建设银行英文缩写,中国建设银行异地存款手续费,0
360,中国建设银行英文缩写,中国建设银行微信公众号,0
361,中国建设银行英文缩写,中国建设银行跨行取款手续费,0
362,中国建设银行英文缩写,中国建设银行电子银行业务中心地址,0
363,中国建设银行英文缩写,中国建设银行异地跨行转账手续费,0
364,中国建设银行英文缩写,中国建设银行异地跨行取款手续费,0
365,中国建设银行英文缩写,中国建设银行的转型方向是什么,0
366,中国建设银行英文缩写,如何关注中国建设银行易信公众号,0
367,中国建设银行英文缩写,如何查询网点英文名称,0
368,中国建设银行英文缩写,建设银行有多少个网点,0
369,中国建设银行英文缩写,建设银行哪些卡支持Apple Pay,0
370,中国建设银行英文缩写,中国建设银行二代网银盾E路护航安全组件适用的系统环境,0
371,中国建设银行英文缩写,建设银行信用卡刚收到的新卡怎么用,0
372,中国建设银行英文缩写,建设银行现在有哪些在售理财产品,0
373,中国建设银行,中国建设银行转账手续费,0
374,中国建设银行,中国建设银行股份有限公司,0
375,中国建设银行,中国建设银行成立时间,1
376,中国建设银行,中国建设银行异地转账手续费,0
377,中国建设银行,中国建设银行异地取款手续费,0
378,中国建设银行,中国建设银行异地存款手续费,0
379,中国建设银行,中国建设银行微信公众号,0
380,中国建设银行,中国建设银行跨行取款手续费,0
381,中国建设银行,中国建设银行电子银行业务中心地址,0
382,中国建设银行,中国建设银行异地跨行转账手续费,0
383,中国建设银行,中国建设银行异地跨行取款手续费,0
384,中国建设银行,中国建设银行的转型方向是什么,0
385,中国建设银行,中国建设银行的英文简称是什么,0
386,中国建设银行,如何关注中国建设银行易信公众号,0
387,中国建设银行,建设银行有多少个网点,0
388,中国建设银行,建设银行哪些卡支持Apple Pay,0
389,中国建设银行,中国建设银行二代网银盾E路护航安全组件适用的系统环境,0
390,中国建设银行,建设银行信用卡刚收到的新卡怎么用,0
391,中国建设银行,建设银行现在有哪些在售理财产品,0
392,中国建设银行,建设银行的行名行徽是什么,0
393,建设银行什么时候成立的,中国建设银行成立时间,1
394,建设银行什么时候成立的,信用卡什么时候还款,0
395,建设银行什么时候成立的,你们什么时候下班,0
396,建设银行什么时候成立的,中国建设银行的转型方向是什么,0
397,建设银行什么时候成立的,中国建设银行的英文简称是什么,0
398,建设银行什么时候成立的,建设银行的行名行徽是什么,0
399,建设银行什么时候成立的,中国建设银行转账手续费,0
400,建设银行什么时候成立的,中国建设银行股份有限公司,0
401,建设银行什么时候成立的,我办的信用卡什么时候能拿到,0
402,建设银行什么时候成立的,手机APP汇款什么时候收到,0
403,建设银行什么时候成立的,活期储蓄存款什么时候结息,0
404,建设银行什么时候成立的,建设银行信用卡刚收到的新卡怎么用,0
405,建设银行什么时候成立的,中国建设银行异地转账手续费,0
406,建设银行什么时候成立的,中国建设银行异地取款手续费,0
407,建设银行什么时候成立的,中国建设银行异地存款手续费,0
408,建设银行什么时候成立的,中国建设银行微信公众号,0
